Town,Latitude,Longitude
ANG MO KIO,1.370025,103.849588
BEDOK,1.324043,103.930205
BISHAN,1.35092,103.848206
BUKIT BATOK,1.349069,103.749596
BUKIT PANJANG,1.37834,103.762452
BUKIT TIMAH,1.2028,103.4633
CENTRAL AREA,1.181553,103.495498
CHOA CHU KANG,1.385417,103.744316
CLEMENTI,1.314925,103.765341
GEYLANG,1.321479,103.871457
HOUGANG,1.371406,103.892533
JURONG EAST,1.333207,103.742308
JURONG WEST,1.338556,103.705828
KALLANG/WHAMPOA,1.311532,103.871372
MARINE PARADE,1.30841,103.888814
PASIR RIS,1.373234,103.949343
PUNGGOL,1.405191,103.902367
QUEENSTOWN,1.294867,103.805902
SEMBAWANG,1.449133,103.82006
SENGKANG,1.391682,103.895475
SERANGOON,1.349862,103.873635
TAMPINES,1.354467,103.943325
TOA PAYOH,1.332405,103.847436
WOODLANDS,1.436984,103.786406
YISHUN,1.429666,103.835044
